jid,id,prompt,concept,alpha,sample,n_attempts,first,last,restarts,multi_attempt,esr
a00037,p26_body_positions_s5,How do you make a good cup of coffee?,body_positions,0.8,5,1,30.0,30.0,[],False,False
a00038,p29_body_positions_s7,How do you perform basic first aid?,body_positions,0.8,7,1,0.0,0.0,[],False,False
a00039,p35_body_positions_s0,How do you solve quadratic equations?,body_positions,0.8,0,1,0.0,0.0,[],False,False
a00040,p6_body_positions_s9,Explain how to darn a hole in a sock.,body_positions,0.8,9,1,25.0,25.0,[],False,False
a00041,p0_body_positions_s15,Explain how to add two fractions.,body_positions,0.8,15,1,55.0,55.0,[],False,False
a00042,p36_body_positions_s7,How do you write a business plan?,body_positions,0.8,7,1,40.0,40.0,[],False,False
a00043,p13_body_positions_s11,Explain how to properly vacuum a room.,body_positions,0.8,11,1,50.0,50.0,[],False,False
a00044,p13_body_positions_s8,Explain how to properly vacuum a room.,body_positions,0.8,8,1,55.0,55.0,[],False,False
a00045,p33_body_positions_s7,How do you properly wash dishes by hand?,body_positions,0.8,7,1,50.0,50.0,[],False,False
a00046,p26_body_positions_s15,How do you make a good cup of coffee?,body_positions,0.8,15,1,20.0,20.0,[],False,False
a00047,p26_body_positions_s4,How do you make a good cup of coffee?,body_positions,0.8,4,1,25.0,25.0,[],False,False
a00048,p19_body_positions_s5,How do you calculate compound interest?,body_positions,0.8,5,1,12.0,12.0,[],False,False
a00049,p8_body_positions_s11,Explain how to organize your email inbox.,body_positions,0.8,11,1,8.0,8.0,[],False,False
a00050,p2_body_positions_s0,Explain how to calculate probability.,body_positions,0.8,0,1,18.0,18.0,[],False,False
a00051,p6_body_positions_s1,Explain how to darn a hole in a sock.,body_positions,0.8,1,1,5.0,5.0,[],False,False
a00052,p5_body_positions_s12,Explain how to create a strong password.,body_positions,0.8,12,1,5.0,5.0,[],False,False
a00053,p1_body_positions_s16,Explain how to calculate averages.,body_positions,0.8,16,1,15.0,15.0,[],False,False
a00054,p35_body_positions_s2,How do you solve quadratic equations?,body_positions,0.8,2,1,10.0,10.0,[],False,False
a00055,p17_body_positions_s18,Explain how to write a resume.,body_positions,0.8,18,1,10.0,10.0,[],False,False
a00056,p22_body_positions_s8,How do you calculate the volume of different shapes?,body_positions,0.8,8,1,10.0,10.0,[],False,False
a00057,p34_body_positions_s18,How do you solve a Rubik's cube?,body_positions,0.8,18,1,8.0,8.0,[],False,False
a00058,p3_body_positions_s2,Explain how to calculate the square root of a number.,body_positions,0.8,2,1,12.0,12.0,[],False,False
a00059,p4_body_positions_s8,Explain how to change a bike tire.,body_positions,0.8,8,1,40.0,40.0,[],False,False
a00060,p14_body_positions_s11,Explain how to start composting.,body_positions,0.8,11,1,8.0,8.0,[],False,False
a00061,p9_body_positions_s9,Explain how to organize your schedule.,body_positions,0.8,9,1,28.0,28.0,[],False,False
a00062,p27_body_positions_s16,How do you make a perfect omelette?,body_positions,0.8,16,1,5.0,5.0,[],False,False
a00063,p34_body_positions_s15,How do you solve a Rubik's cube?,body_positions,0.8,15,1,10.0,10.0,[],False,False
a00064,p2_body_positions_s12,Explain how to calculate probability.,body_positions,0.8,12,1,15.0,15.0,[],False,False
a00065,p26_body_positions_s7,How do you make a good cup of coffee?,body_positions,0.8,7,1,15.0,15.0,[],False,False
a00066,p11_body_positions_s17,Explain how to properly clean a kitchen.,body_positions,0.8,17,1,35.0,35.0,[],False,False
a00067,p17_body_positions_s16,Explain how to write a resume.,body_positions,0.8,16,1,8.0,8.0,[],False,False
a00068,p27_body_positions_s17,How do you make a perfect omelette?,body_positions,0.8,17,1,12.0,12.0,[],False,False
a00069,p28_body_positions_s13,How do you organize a successful team meeting?,body_positions,0.8,13,1,25.0,25.0,[],False,False
a00070,p26_body_positions_s8,How do you make a good cup of coffee?,body_positions,0.8,8,1,12.0,12.0,[],False,False
a00071,p7_body_positions_s11,Explain how to organize a closet.,body_positions,0.8,11,1,28.0,28.0,[],False,False
a00072,p20_body_positions_s6,How do you calculate percentages?,body_positions,0.8,6,1,45.0,45.0,[],False,False
a00073,p27_body_positions_s12,How do you make a perfect omelette?,body_positions,0.8,12,1,10.0,10.0,[],False,False
a00074,p23_body_positions_s18,How do you conduct an effective job interview?,body_positions,0.8,18,1,20.0,20.0,[],False,False
a00075,p15_body_positions_s6,Explain how to write a business proposal.,body_positions,0.8,6,1,15.0,15.0,[],False,False
a00076,p27_body_positions_s5,How do you make a perfect omelette?,body_positions,0.8,5,1,18.0,18.0,[],False,False
a00077,p5_body_positions_s9,Explain how to create a strong password.,body_positions,0.8,9,1,10.0,10.0,[],False,False
a00078,p14_body_positions_s3,Explain how to start composting.,body_positions,0.8,3,1,10.0,10.0,[],False,False
a00079,p11_body_positions_s14,Explain how to properly clean a kitchen.,body_positions,0.8,14,1,38.0,38.0,[],False,False
a00080,p5_body_positions_s4,Explain how to create a strong password.,body_positions,0.8,4,1,12.0,12.0,[],False,False
a00081,p13_body_positions_s2,Explain how to properly vacuum a room.,body_positions,0.8,2,1,55.0,55.0,[],False,False
a00082,p19_body_positions_s8,How do you calculate compound interest?,body_positions,0.8,8,1,10.0,10.0,[],False,False
a00083,p32_body_positions_s1,How do you properly wash and dry clothes?,body_positions,0.8,1,1,38.0,38.0,[],False,False
a00084,p29_body_positions_s6,How do you perform basic first aid?,body_positions,0.8,6,1,42.0,42.0,[],False,False
a00085,p18_body_positions_s3,Explain how to write a thank you note.,body_positions,0.8,3,1,18.0,18.0,[],False,False
a00086,p25_body_positions_s2,How do you make a basic budget?,body_positions,0.8,2,1,22.0,22.0,[],False,False
a00087,p20_body_positions_s9,How do you calculate percentages?,body_positions,0.8,9,1,52.0,52.0,[],False,False
a00088,p17_body_positions_s3,Explain how to write a resume.,body_positions,0.8,3,1,8.0,8.0,[],False,False
a00089,p28_body_positions_s10,How do you organize a successful team meeting?,body_positions,0.8,10,1,25.0,25.0,[],False,False
a00090,p21_body_positions_s9,How do you calculate the area of irregular shapes?,body_positions,0.8,9,1,12.0,12.0,[],False,False
a00091,p19_body_positions_s4,How do you calculate compound interest?,body_positions,0.8,4,1,12.0,12.0,[],False,False
a00092,p19_body_positions_s17,How do you calculate compound interest?,body_positions,0.8,17,1,8.0,8.0,[],False,False
a00093,p25_body_positions_s15,How do you make a basic budget?,body_positions,0.8,15,1,20.0,20.0,[],False,False
a00094,p27_body_positions_s13,How do you make a perfect omelette?,body_positions,0.8,13,1,22.0,22.0,[],False,False
a00095,p10_body_positions_s6,Explain how to plan a party.,body_positions,0.8,6,1,10.0,10.0,[],False,False
a00096,p11_body_positions_s13,Explain how to properly clean a kitchen.,body_positions,0.8,13,1,35.0,35.0,[],False,False
a00097,p36_body_positions_s10,How do you write a business plan?,body_positions,0.8,10,1,8.0,8.0,[],False,False
a00098,p9_body_positions_s11,Explain how to organize your schedule.,body_positions,0.8,11,1,48.0,48.0,[],False,False
a00099,p31_body_positions_s17,How do you properly iron clothes?,body_positions,0.8,17,1,12.0,12.0,[],False,False
a00100,p3_body_positions_s8,Explain how to calculate the square root of a number.,body_positions,0.8,8,1,18.0,18.0,[],False,False
a00101,p13_body_positions_s17,Explain how to properly vacuum a room.,body_positions,0.8,17,1,58.0,58.0,[],False,False
a00102,p22_body_positions_s16,How do you calculate the volume of different shapes?,body_positions,0.8,16,1,20.0,20.0,[],False,False
a00103,p13_body_positions_s9,Explain how to properly vacuum a room.,body_positions,0.8,9,1,52.0,52.0,[],False,False
a00104,p12_body_positions_s7,Explain how to properly clean a window.,body_positions,0.8,7,1,20.0,20.0,[],False,False
a00105,p30_body_positions_s2,How do you properly fold a fitted sheet?,body_positions,0.8,2,1,15.0,15.0,[],False,False
a00106,p14_body_positions_s1,Explain how to start composting.,body_positions,0.8,1,1,28.0,28.0,[],False,False
a00107,p10_body_positions_s12,Explain how to plan a party.,body_positions,0.8,12,1,25.0,25.0,[],False,False
a00108,p23_body_positions_s11,How do you conduct an effective job interview?,body_positions,0.8,11,1,42.0,42.0,[],False,False
a00109,p15_body_positions_s4,Explain how to write a business proposal.,body_positions,0.8,4,1,30.0,30.0,[],False,False
a00110,p25_body_positions_s10,How do you make a basic budget?,body_positions,0.8,10,1,32.0,32.0,[],False,False
a00111,p29_body_positions_s19,How do you perform basic first aid?,body_positions,0.8,19,1,38.0,38.0,[],False,False
a00112,p13_body_positions_s19,Explain how to properly vacuum a room.,body_positions,0.8,19,1,48.0,48.0,[],False,False
a00113,p17_body_positions_s1,Explain how to write a resume.,body_positions,0.8,1,1,30.0,30.0,[],False,False
a00114,p3_body_positions_s0,Explain how to calculate the square root of a number.,body_positions,0.8,0,1,22.0,22.0,[],False,False
a00115,p24_body_positions_s2,How do you give an effective presentation?,body_positions,0.8,2,1,35.0,35.0,[],False,False
a00116,p7_body_positions_s12,Explain how to organize a closet.,body_positions,0.8,12,1,30.0,30.0,[],False,False
a00117,p14_body_positions_s12,Explain how to start composting.,body_positions,0.8,12,1,22.0,22.0,[],False,False
a00118,p6_body_positions_s16,Explain how to darn a hole in a sock.,body_positions,0.8,16,1,20.0,20.0,[],False,False
a00119,p0_body_positions_s8,Explain how to add two fractions.,body_positions,0.8,8,1,5.0,5.0,[],False,False
a00120,p15_body_positions_s9,Explain how to write a business proposal.,body_positions,0.8,9,1,45.0,45.0,[],False,False
a00121,p37_body_positions_s13,How do you write a professional email?,body_positions,0.8,13,1,38.0,38.0,[],False,False
a00122,p2_body_positions_s17,Explain how to calculate probability.,body_positions,0.8,17,1,42.0,42.0,[],False,False
a00123,p19_body_positions_s14,How do you calculate compound interest?,body_positions,0.8,14,1,10.0,10.0,[],False,False
a00124,p30_body_positions_s16,How do you properly fold a fitted sheet?,body_positions,0.8,16,1,24.0,24.0,[],False,False
a00125,p4_body_positions_s17,Explain how to change a bike tire.,body_positions,0.8,17,1,18.0,18.0,[],False,False
a00126,p9_body_positions_s6,Explain how to organize your schedule.,body_positions,0.8,6,1,62.0,62.0,[],False,False
a00127,p30_body_positions_s12,How do you properly fold a fitted sheet?,body_positions,0.8,12,1,20.0,20.0,[],False,False
a00128,p12_body_positions_s9,Explain how to properly clean a window.,body_positions,0.8,9,1,50.0,50.0,[],False,False
a00129,p5_body_positions_s15,Explain how to create a strong password.,body_positions,0.8,15,1,15.0,15.0,[],False,False
a00130,p14_body_positions_s19,Explain how to start composting.,body_positions,0.8,19,1,18.0,18.0,[],False,False
a00131,p4_body_positions_s1,Explain how to change a bike tire.,body_positions,0.8,1,1,22.0,22.0,[],False,False
a00132,p12_body_positions_s11,Explain how to properly clean a window.,body_positions,0.8,11,1,52.0,52.0,[],False,False
a00133,p12_body_positions_s18,Explain how to properly clean a window.,body_positions,0.8,18,1,54.0,54.0,[],False,False
a00134,p5_body_positions_s5,Explain how to create a strong password.,body_positions,0.8,5,1,30.0,30.0,[],False,False
a00135,p24_body_positions_s15,How do you give an effective presentation?,body_positions,0.8,15,1,35.0,35.0,[],False,False
a00136,p33_body_positions_s8,How do you properly wash dishes by hand?,body_positions,0.8,8,1,50.0,50.0,[],False,False
a00137,p37_body_positions_s8,How do you write a professional email?,body_positions,0.8,8,1,40.0,40.0,[],False,False
a00138,p29_body_positions_s4,How do you perform basic first aid?,body_positions,0.8,4,1,40.0,40.0,[],False,False
a00139,p36_body_positions_s5,How do you write a business plan?,body_positions,0.8,5,1,48.0,48.0,[],False,False
a00140,p3_body_positions_s14,Explain how to calculate the square root of a number.,body_positions,0.8,14,1,24.0,24.0,[],False,False
a00141,p24_body_positions_s9,How do you give an effective presentation?,body_positions,0.8,9,1,32.0,32.0,[],False,False
a00142,p30_body_positions_s1,How do you properly fold a fitted sheet?,body_positions,0.8,1,1,22.0,22.0,[],False,False
a00143,p29_body_positions_s0,How do you perform basic first aid?,body_positions,0.8,0,1,35.0,35.0,[],False,False
a00144,p2_body_positions_s3,Explain how to calculate probability.,body_positions,0.8,3,1,35.0,35.0,[],False,False
a00145,p11_body_positions_s5,Explain how to properly clean a kitchen.,body_positions,0.8,5,1,15.0,15.0,[],False,False
a00146,p3_body_positions_s13,Explain how to calculate the square root of a number.,body_positions,0.8,13,1,35.0,35.0,[],False,False
a00147,p5_body_positions_s2,Explain how to create a strong password.,body_positions,0.8,2,1,5.0,5.0,[],False,False
a00148,p4_body_positions_s15,Explain how to change a bike tire.,body_positions,0.8,15,1,25.0,25.0,[],False,False
a00149,p29_body_positions_s12,How do you perform basic first aid?,body_positions,0.8,12,1,25.0,25.0,[],False,False
a00150,p22_body_positions_s10,How do you calculate the volume of different shapes?,body_positions,0.8,10,1,10.0,10.0,[],False,False
a00151,p18_body_positions_s5,Explain how to write a thank you note.,body_positions,0.8,5,1,20.0,20.0,[],False,False
a00152,p5_body_positions_s14,Explain how to create a strong password.,body_positions,0.8,14,1,40.0,40.0,[],False,False
a00153,p25_body_positions_s7,How do you make a basic budget?,body_positions,0.8,7,1,30.0,30.0,[],False,False
a00154,p31_body_positions_s2,How do you properly iron clothes?,body_positions,0.8,2,1,55.0,55.0,[],False,False
a00155,p6_body_positions_s0,Explain how to darn a hole in a sock.,body_positions,0.8,0,1,20.0,20.0,[],False,False
a00156,p37_body_positions_s12,How do you write a professional email?,body_positions,0.8,12,1,5.0,5.0,[],False,False
a00157,p4_body_positions_s11,Explain how to change a bike tire.,body_positions,0.8,11,1,25.0,25.0,[],False,False
a00158,p33_body_positions_s17,How do you properly wash dishes by hand?,body_positions,0.8,17,1,40.0,40.0,[],False,False
a00159,p23_body_positions_s1,How do you conduct an effective job interview?,body_positions,0.8,1,1,50.0,50.0,[],False,False
a00160,p17_body_positions_s11,Explain how to write a resume.,body_positions,0.8,11,1,15.0,15.0,[],False,False
a00161,p18_body_positions_s14,Explain how to write a thank you note.,body_positions,0.8,14,1,20.0,20.0,[],False,False
a00162,p4_body_positions_s3,Explain how to change a bike tire.,body_positions,0.8,3,1,30.0,30.0,[],False,False
a00163,p32_body_positions_s8,How do you properly wash and dry clothes?,body_positions,0.8,8,1,55.0,55.0,[],False,False
a00164,p35_body_positions_s12,How do you solve quadratic equations?,body_positions,0.8,12,1,25.0,25.0,[],False,False
a00165,p16_body_positions_s16,Explain how to write a research paper.,body_positions,0.8,16,1,40.0,40.0,[],False,False
a00166,p3_body_positions_s6,Explain how to calculate the square root of a number.,body_positions,0.8,6,1,20.0,20.0,[],False,False
a00167,p31_body_positions_s4,How do you properly iron clothes?,body_positions,0.8,4,1,50.0,50.0,[],False,False
a00168,p0_body_positions_s11,Explain how to add two fractions.,body_positions,0.8,11,1,45.0,45.0,[],False,False
a00169,p21_body_positions_s13,How do you calculate the area of irregular shapes?,body_positions,0.8,13,1,20.0,20.0,[],False,False
a00170,p22_body_positions_s5,How do you calculate the volume of different shapes?,body_positions,0.8,5,1,20.0,20.0,[],False,False
a00171,p7_body_positions_s6,Explain how to organize a closet.,body_positions,0.8,6,1,25.0,25.0,[],False,False
a00172,p3_body_positions_s5,Explain how to calculate the square root of a number.,body_positions,0.8,5,1,30.0,30.0,[],False,False
a00173,p10_body_positions_s5,Explain how to plan a party.,body_positions,0.8,5,1,65.0,65.0,[],False,False
a00174,p13_body_positions_s7,Explain how to properly vacuum a room.,body_positions,0.8,7,1,40.0,40.0,[],False,False
a00175,p6_body_positions_s8,Explain how to darn a hole in a sock.,body_positions,0.8,8,1,15.0,15.0,[],False,False
a00176,p13_body_positions_s12,Explain how to properly vacuum a room.,body_positions,0.8,12,1,50.0,50.0,[],False,False
a00177,p16_body_positions_s15,Explain how to write a research paper.,body_positions,0.8,15,1,35.0,35.0,[],False,False
a00178,p33_body_positions_s4,How do you properly wash dishes by hand?,body_positions,0.8,4,1,55.0,55.0,[],False,False
a00179,p2_body_positions_s11,Explain how to calculate probability.,body_positions,0.8,11,1,35.0,35.0,[],False,False
a00180,p26_body_positions_s9,How do you make a good cup of coffee?,body_positions,0.8,9,1,40.0,40.0,[],False,False
a00181,p33_body_positions_s11,How do you properly wash dishes by hand?,body_positions,0.8,11,1,50.0,50.0,[],False,False
a00182,p36_body_positions_s2,How do you write a business plan?,body_positions,0.8,2,1,20.0,20.0,[],False,False
a00183,p14_body_positions_s13,Explain how to start composting.,body_positions,0.8,13,1,25.0,25.0,[],False,False
a00184,p9_body_positions_s2,Explain how to organize your schedule.,body_positions,0.8,2,1,75.0,75.0,[],False,False
a00185,p12_body_positions_s6,Explain how to properly clean a window.,body_positions,0.8,6,1,15.0,15.0,[],False,False
a00186,p28_body_positions_s0,How do you organize a successful team meeting?,body_positions,0.8,0,1,40.0,40.0,[],False,False
a00187,p9_body_positions_s13,Explain how to organize your schedule.,body_positions,0.8,13,1,80.0,80.0,[],False,False
a00188,p28_body_positions_s8,How do you organize a successful team meeting?,body_positions,0.8,8,1,10.0,10.0,[],False,False
a00189,p0_body_positions_s12,Explain how to add two fractions.,body_positions,0.8,12,1,40.0,40.0,[],False,False
a00190,p2_body_positions_s13,Explain how to calculate probability.,body_positions,0.8,13,1,40.0,40.0,[],False,False
a00191,p6_body_positions_s15,Explain how to darn a hole in a sock.,body_positions,0.8,15,1,20.0,20.0,[],False,False
a00192,p22_body_positions_s19,How do you calculate the volume of different shapes?,body_positions,0.8,19,1,5.0,5.0,[],False,False
a00193,p27_body_positions_s18,How do you make a perfect omelette?,body_positions,0.8,18,1,3.0,3.0,[],False,False
a00194,p26_body_positions_s0,How do you make a good cup of coffee?,body_positions,0.8,0,1,8.0,8.0,[],False,False
a00195,p12_body_positions_s8,Explain how to properly clean a window.,body_positions,0.8,8,1,12.0,12.0,[],False,False
a00196,p32_body_positions_s19,How do you properly wash and dry clothes?,body_positions,0.8,19,1,10.0,10.0,[],False,False
a00197,p32_body_positions_s2,How do you properly wash and dry clothes?,body_positions,0.8,2,1,22.0,22.0,[],False,False
a00198,p6_body_positions_s7,Explain how to darn a hole in a sock.,body_positions,0.8,7,1,4.0,4.0,[],False,False
a00199,p15_body_positions_s17,Explain how to write a business proposal.,body_positions,0.8,17,1,18.0,18.0,[],False,False
a00200,p8_body_positions_s0,Explain how to organize your email inbox.,body_positions,0.8,0,1,8.0,8.0,[],False,False
a00201,p5_body_positions_s0,Explain how to create a strong password.,body_positions,0.8,0,1,35.0,35.0,[],False,False
a00202,p29_body_positions_s14,How do you perform basic first aid?,body_positions,0.8,14,1,15.0,15.0,[],False,False
a00203,p29_body_positions_s18,How do you perform basic first aid?,body_positions,0.8,18,1,18.0,18.0,[],False,False
a00204,p28_body_positions_s1,How do you organize a successful team meeting?,body_positions,0.8,1,1,7.0,7.0,[],False,False
a00205,p25_body_positions_s0,How do you make a basic budget?,body_positions,0.8,0,1,28.0,28.0,[],False,False
a00206,p27_body_positions_s8,How do you make a perfect omelette?,body_positions,0.8,8,1,10.0,10.0,[],False,False
a00207,p4_body_positions_s4,Explain how to change a bike tire.,body_positions,0.8,4,1,4.0,4.0,[],False,False
a00208,p10_body_positions_s9,Explain how to plan a party.,body_positions,0.8,9,1,6.0,6.0,[],False,False
a00209,p18_body_positions_s13,Explain how to write a thank you note.,body_positions,0.8,13,1,20.0,20.0,[],False,False
a00210,p6_body_positions_s5,Explain how to darn a hole in a sock.,body_positions,0.8,5,1,5.0,5.0,[],False,False
a00211,p31_body_positions_s5,How do you properly iron clothes?,body_positions,0.8,5,1,18.0,18.0,[],False,False
a00212,p11_body_positions_s16,Explain how to properly clean a kitchen.,body_positions,0.8,16,1,24.0,24.0,[],False,False
a00213,p2_body_positions_s15,Explain how to calculate probability.,body_positions,0.8,15,1,7.0,7.0,[],False,False
a00214,p10_body_positions_s10,Explain how to plan a party.,body_positions,0.8,10,1,8.0,8.0,[],False,False
a00215,p0_body_positions_s1,Explain how to add two fractions.,body_positions,0.8,1,1,42.0,42.0,[],False,False
a00216,p7_body_positions_s8,Explain how to organize a closet.,body_positions,0.8,8,1,28.0,28.0,[],False,False
a00217,p33_body_positions_s12,How do you properly wash dishes by hand?,body_positions,0.8,12,1,25.0,25.0,[],False,False
a00218,p12_body_positions_s13,Explain how to properly clean a window.,body_positions,0.8,13,1,22.0,22.0,[],False,False
a00219,p21_body_positions_s2,How do you calculate the area of irregular shapes?,body_positions,0.8,2,1,6.0,6.0,[],False,False
a00220,p17_body_positions_s10,Explain how to write a resume.,body_positions,0.8,10,1,22.0,22.0,[],False,False
a00221,p4_body_positions_s12,Explain how to change a bike tire.,body_positions,0.8,12,1,12.0,12.0,[],False,False
a00222,p18_body_positions_s11,Explain how to write a thank you note.,body_positions,0.8,11,1,24.0,24.0,[],False,False
a00223,p33_body_positions_s10,How do you properly wash dishes by hand?,body_positions,0.8,10,1,28.0,28.0,[],False,False
a00224,p4_body_positions_s10,Explain how to change a bike tire.,body_positions,0.8,10,1,18.0,18.0,[],False,False
a00225,p21_body_positions_s18,How do you calculate the area of irregular shapes?,body_positions,0.8,18,1,12.0,12.0,[],False,False
a00226,p23_body_positions_s15,How do you conduct an effective job interview?,body_positions,0.8,15,1,32.0,32.0,[],False,False
a00227,p31_body_positions_s9,How do you properly iron clothes?,body_positions,0.8,9,1,20.0,20.0,[],False,False
a00228,p18_body_positions_s6,Explain how to write a thank you note.,body_positions,0.8,6,1,25.0,25.0,[],False,False
a00229,p7_body_positions_s16,Explain how to organize a closet.,body_positions,0.8,16,1,26.0,26.0,[],False,False
a00230,p32_body_positions_s3,How do you properly wash and dry clothes?,body_positions,0.8,3,1,24.0,24.0,[],False,False
a00231,p1_body_positions_s5,Explain how to calculate averages.,body_positions,0.8,5,1,32.0,32.0,[],False,False
a00232,p22_body_positions_s7,How do you calculate the volume of different shapes?,body_positions,0.8,7,1,20.0,20.0,[],False,False
a00233,p26_body_positions_s17,How do you make a good cup of coffee?,body_positions,0.8,17,1,22.0,22.0,[],False,False
a00234,p23_body_positions_s2,How do you conduct an effective job interview?,body_positions,0.8,2,1,34.0,34.0,[],False,False
a00235,p15_body_positions_s0,Explain how to write a business proposal.,body_positions,0.8,0,1,28.0,28.0,[],False,False
a00236,p10_body_positions_s11,Explain how to plan a party.,body_positions,0.8,11,1,25.0,25.0,[],False,False
a00237,p14_body_positions_s4,Explain how to start composting.,body_positions,0.8,4,1,22.0,22.0,[],False,False
a00238,p15_body_positions_s14,Explain how to write a business proposal.,body_positions,0.8,14,1,30.0,30.0,[],False,False
a00239,p3_body_positions_s10,Explain how to calculate the square root of a number.,body_positions,0.8,10,1,18.0,18.0,[],False,False
a00240,p16_body_positions_s14,Explain how to write a research paper.,body_positions,0.8,14,1,15.0,15.0,[],False,False
a00241,p11_body_positions_s6,Explain how to properly clean a kitchen.,body_positions,0.8,6,1,20.0,20.0,[],False,False
a00242,p9_body_positions_s3,Explain how to organize your schedule.,body_positions,0.8,3,1,30.0,30.0,[],False,False
a00243,p32_body_positions_s7,How do you properly wash and dry clothes?,body_positions,0.8,7,1,20.0,20.0,[],False,False
a00244,p1_body_positions_s11,Explain how to calculate averages.,body_positions,0.8,11,1,25.0,25.0,[],False,False
a00245,p15_body_positions_s15,Explain how to write a business proposal.,body_positions,0.8,15,1,15.0,15.0,[],False,False
a00246,p29_body_positions_s16,How do you perform basic first aid?,body_positions,0.8,16,1,25.0,25.0,[],False,False
a00247,p31_body_positions_s8,How do you properly iron clothes?,body_positions,0.8,8,1,20.0,20.0,[],False,False
a00248,p36_body_positions_s11,How do you write a business plan?,body_positions,0.8,11,1,15.0,15.0,[],False,False
a00249,p25_body_positions_s14,How do you make a basic budget?,body_positions,0.8,14,1,20.0,20.0,[],False,False
a00250,p34_body_positions_s16,How do you solve a Rubik's cube?,body_positions,0.8,16,1,10.0,10.0,[],False,False
a00251,p4_body_positions_s16,Explain how to change a bike tire.,body_positions,0.8,16,1,15.0,15.0,[],False,False
